Rubtsovsk Altai Krai Russia,5360,-2800
Pamplona Spain,429,5836
Burgos Spain,5390,-3365
Leskovac Serbia,5294,-217
Rzeszów Poland,1418,11
Aalborg Denmark,-2592,-1392
Kovrov Vladimirskaya oblast Russia,1117,576
Leverkusen Germany,3322,3009
Bournemouth UK,-851,-2659
Breda The Netherlands,397,-6155
Peterborough UK,4597,-1127
Szeged Hungary,1318,4688
Nakhodka Primorsky Krai Russia,-3548,-4657
North East Lincolnshire UK,-849,107
Ruda Śląska Poland,-61,0
Salamanca Spain,-642,-458
Pécs Hungary,4515,-3199
Salavat Republic of Bashkortostan Russia,210,-148
Ussuriysk Primorsky Krai Russia,-1154,-3
Mytishchi Moscow Oblast Russia,-3761,-128
Chelmsford Essex UK,5633,2905
Foggia Italy,3660,-602
Brighton Brighton and Hove UK,3447,-455
South Tyneside UK,-819,6317
Charnwood 1a Granby St Loughborough Leicestershire LE11 3DU UK,1334,-3544
Aylesbury Buckinghamshire UK,4399,-4606
Colchester Essex UK,3993,4949
Oldenburg Germany,-570,1530
Knowsley Merseyside UK,290,86
Patras Greece,-3251,844
Apeldoorn The Netherlands,5640,-1826
North Lincolnshire UK,-1064,666
Huntingdonshire Regional College California Rd Huntingdon Cambridgeshire PE29 1BL UK,5496,-990
Macclesfield Cheshire East UK,-491,-803
Blackpool UK,2554,220
Perugia Italy,-4799,859
Nijmegen The Netherlands,5794,-2647
Balti Moldova,3516,-1328
Kolomna Moscow Oblast Russia,-2962,-5600
Grenoble France,5047,-3155
West Lothian UK,3496,-1520
Barysaŭ Belarus,4566,1048
Somerset UK,-4456,-864
Dundee UK,543,93
Nikopol' Dnipropetrovs'ka oblast Ukraine 53200,2698,-442
Neuss Germany,4724,2024
Baia Mare Romania,-70,3289
Enschede The Netherlands,4837,3384
Norilsk Krasnoyarsk Krai Russia,1336,344
